,Rank,N,Min.,Max.,Median,Avg.,SD
Aerococcus viridans,species,1.0,7.0,7.0,7.0,7.0,0.0
Clostridium tyrobutyricum,species,3.0,5.0,6.0,6.0,5.67,0.47
Companilactobacillus crustorum,species,1.0,4.0,4.0,4.0,4.0,0.0
Companilactobacillus farciminis,species,1.0,4.0,4.0,4.0,4.0,0.0
Corynebacterium glutamicum,species,30.0,5.0,6.0,6.0,5.93,0.25
Enterococcus faecalis,species,50.0,4.0,4.0,4.0,4.0,0.0
Enterococcus faecium,species,182.0,6.0,7.0,6.0,6.01,0.1
Enterococcus gilvus,species,1.0,6.0,6.0,6.0,6.0,0.0
Lacticaseibacillus paracasei,species,44.0,5.0,5.0,5.0,5.0,0.0
Lacticaseibacillus rhamnosus,species,26.0,5.0,5.0,5.0,5.0,0.0
Lactiplantibacillus pentosus,species,5.0,5.0,5.0,5.0,5.0,0.0
Lactiplantibacillus plantarum,species,135.0,1.0,5.0,5.0,4.93,0.5
Lactobacillus delbrueckii,species,25.0,8.0,11.0,9.0,8.92,0.63
Lactobacillus helveticus,species,17.0,4.0,5.0,4.0,4.24,0.42
Lactococcus lactis,species,48.0,5.0,6.0,6.0,5.94,0.24
Leuconostoc carnosum,species,2.0,4.0,4.0,4.0,4.0,0.0
Leuconostoc mesenteroides,species,20.0,3.0,4.0,4.0,3.95,0.22
Leuconostoc pseudomesenteroides,species,3.0,4.0,4.0,4.0,4.0,0.0
Levilactobacillus brevis,species,18.0,4.0,6.0,5.0,5.0,0.33
Pediococcus pentosaceus,species,18.0,5.0,5.0,5.0,5.0,0.0
Shigella dysenteriae,species,11.0,7.0,7.0,7.0,7.0,0.0
Staphylococcus aureus,species,575.0,1.0,8.0,6.0,5.58,0.79
Staphylococcus haemolyticus,species,10.0,1.0,7.0,6.0,5.5,1.57
Streptococcus dysgalactiae,species,24.0,5.0,8.0,6.0,5.92,0.64
Streptococcus gallolyticus,species,7.0,5.0,7.0,6.0,6.0,0.53
Streptococcus thermophilus,species,66.0,5.0,6.0,6.0,5.67,0.47
Streptococcus uberis,species,4.0,5.0,6.0,5.5,5.5,0.5
Turicibacter sanguinis,species,1.0,8.0,8.0,8.0,8.0,0.0
Weissella hellenica,species,2.0,8.0,8.0,8.0,8.0,0.0
Weissella paramesenteroides,species,1.0,8.0,8.0,8.0,8.0,0.0
Lentilactobacillus buchneri,species,3.0,5.0,5.0,5.0,5.0,0.0
Loigolactobacillus coryniformis,species,4.0,1.0,5.0,5.0,4.0,1.73
Latilactobacillus curvatus,species,12.0,6.0,6.0,6.0,6.0,0.0
Schleiferilactobacillus harbinensis,species,2.0,5.0,5.0,5.0,5.0,0.0
Paucilactobacillus nenjiangensis,species,1.0,5.0,5.0,5.0,5.0,0.0
Lentilactobacillus parabuchneri,species,3.0,5.0,5.0,5.0,5.0,0.0
Lactiplantibacillus paraplantarum,species,3.0,1.0,5.0,5.0,3.67,1.89
Latilactobacillus sakei,species,20.0,5.0,8.0,7.0,6.85,0.65
Companilactobacillus,genus,8.0,3.0,4.0,,3.88,0.33
Enterococcus,genus,19.0,4.0,7.0,,5.49,0.74
Lactobacillus,genus,28.0,3.0,11.0,,4.78,1.06
Latilactobacillus,genus,3.0,5.0,8.0,,6.28,0.4
Lentilactobacillus,genus,5.0,5.0,5.0,,5.0,0.0
Loigolactobacillus,genus,2.0,1.0,5.0,,4.5,0.5
Pediococcus,genus,5.0,4.0,5.0,,4.4,0.49
Ruminococcaceae,family,6.0,2.0,6.0,,3.5,1.29
Staphylococcus,genus,46.0,1.0,8.0,,5.95,0.47
Streptococcaceae,family,2.0,1.0,9.0,,4.98,0.0
Intestinibacter,,,,,,,
